Player_ID,Game_ID,Start,Played,2FGM,2FGA,3FGM,3FGA,FTM,FTA,Off_Reb,Def_Reb,Assist,Steal,Block,Turnover
1,2,Y,Y,3,6,0,1,2,3,1,2,2,0,0,0
2,2,N,N,0,0,0,0,0,0,0,0,0,0,0,0
3,2,N,Y,0,0,0,2,0,0,0,0,2,1,0,1
4,2,N,Y,2,2,0,0,0,0,0,2,1,1,0,0
10,2,N,N,0,0,0,0,0,0,0,0,0,0,0,0
11,2,Y,Y,2,3,0,0,2,2,1,2,4,1,0,0
13,2,Y,Y,1,2,0,0,2,4,2,2,0,4,0,2
15,2,N,N,0,0,0,0,0,0,0,0,0,0,0,0
20,2,Y,Y,2,4,1,2,2,3,1,0,0,0,0,2
21,2,N,N,0,0,0,0,0,0,0,0,0,0,0,0
24,2,Y,Y,6,6,2,6,1,1,0,2,0,3,0,1
1,4,Y,Y,1,2,2,3,1,2,1,2,5,0,2,2
2,4,N,N,0,0,0,0,0,0,0,0,0,0,0,0
3,4,N,N,0,0,0,0,0,0,0,0,0,0,0,0
4,4,N,Y,1,2,0,0,2,4,0,0,0,0,0,2
10,4,N,N,0,0,0,0,0,0,0,0,0,0,0,0
11,4,Y,Y,5,5,0,1,6,8,3,5,3,0,1,0
13,4,N,Y,1,1,0,0,0,0,0,0,0,1,0,0
15,4,Y,Y,2,5,1,1,0,0,3,7,3,0,1,0
20,4,Y,Y,2,5,0,3,4,6,1,5,3,2,0,9
21,4,N,Y,0,0,0,0,0,0,0,1,0,0,0,0
24,4,Y,Y,5,7,1,3,8,8,3,4,0,0,1,1
1,6,Y,Y,4,7,3,3,0,0,3,1,2,2,1,2
2,6,N,Y,0,0,0,1,0,0,0,0,0,0,0,1
3,6,N,Y,0,0,0,1,1,2,0,0,0,0,0,0
4,6,N,Y,1,1,0,0,0,1,1,0,1,0,0,1
10,6,Y,Y,3,4,5,6,1,1,0,1,5,5,0,0
11,6,Y,Y,2,2,0,1,0,0,0,1,1,2,0,3
13,6,N,Y,3,6,0,0,2,2,4,5,0,2,3,2
15,6,N,Y,2,4,1,1,2,2,2,1,2,3,0,0
20,6,Y,Y,4,5,1,3,0,0,0,2,3,1,2,0
21,6,N,Y,0,0,0,1,0,0,1,0,1,1,0,0
24,6,Y,Y,5,8,1,2,0,0,1,3,2,5,1,0
1,7,Y,Y,2,2,0,0,0,0,1,3,1,0,1,3
2,7,N,N,0,0,0,0,0,0,0,0,0,0,0,0
3,7,N,N,0,0,0,0,0,0,0,0,0,0,0,0
4,7,N,N,0,0,0,0,0,0,0,0,0,0,0,0
10,7,Y,Y,3,3,2,3,1,1,0,6,3,1,1,5
11,7,Y,Y,2,4,0,1,4,4,0,3,4,0,0,0
13,7,N,Y,1,4,0,0,0,0,3,1,0,0,0,0
15,7,N,Y,1,3,0,0,0,0,2,1,0,0,0,1
20,7,Y,Y,4,5,1,1,5,6,2,3,2,0,0,3
21,7,N,N,0,0,0,0,0,0,0,0,0,0,0,0
24,7,Y,Y,7,9,1,5,2,3,0,7,2,1,1,4
1,8,Y,Y,4,5,1,2,3,3,1,2,0,3,1,1
2,8,N,Y,0,0,0,0,0,0,1,0,0,0,0,0
3,8,N,Y,0,0,1,1,0,0,0,0,0,0,0,0
4,8,N,N,0,0,0,0,0,0,0,0,0,0,0,0
10,8,Y,Y,4,5,4,7,0,0,2,1,4,5,0,2
11,8,Y,Y,3,4,1,5,0,0,2,3,2,4,0,1
13,8,N,Y,4,6,0,0,0,2,1,1,2,0,0,2
15,8,N,Y,0,1,0,0,0,0,3,4,2,0,1,0
20,8,Y,Y,3,5,1,5,1,2,0,1,2,3,1,0
21,8,N,Y,0,0,1,2,0,0,0,2,1,2,0,1
24,8,Y,Y,8,8,2,6,3,4,3,4,2,0,0,1
1,9,Y,Y,1,3,0,1,3,4,2,2,2,3,1,0
2,9,N,Y,0,0,0,0,1,2,0,2,1,0,0,0
3,9,N,Y,0,0,0,0,0,0,0,0,0,0,0,0
4,9,N,Y,2,2,0,1,4,4,0,0,0,0,0,0
10,9,Y,Y,4,6,1,6,2,2,0,2,5,4,0,1
11,9,Y,Y,3,5,2,3,2,3,1,2,0,2,1,1
13,9,N,Y,5,8,0,0,0,3,3,3,0,1,0,0
15,9,N,Y,0,0,0,1,0,0,2,3,4,0,0,1
20,9,Y,Y,3,5,1,2,3,4,0,2,0,4,0,0
21,9,N,Y,0,1,0,0,0,0,2,1,0,1,0,0
24,9,Y,Y,5,9,0,1,2,4,3,2,2,1,0,3
