Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Lac Courte Oreilles,57,33023420,8,32,4,20,1,3,21,11,24,36,3,24,4,2,0,0
Chequamegon,21,33023420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lac Courte Oreilles,43,33023421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornell,31,33023421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lac Courte Oreilles,33,33023423,26,67,8,10,6,25,66,14,23,37,20,10,16,1,0,0
Hurley,66,33023423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lac Courte Oreilles,28,33023425,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0
Mellen,55,33023425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lac Courte Oreilles,45,33023426,9,32,5,12,3,9,26,7,21,28,7,34,7,0,12,0
Mercer,26,33023426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lac Courte Oreilles,20,33023427,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0
New Auburn,30,33023427,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0
Lac Courte Oreilles,40,33023428,15,44,9,12,8,22,63,13,20,33,14,0,18,5,0,0
Solon Springs,63,33023428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lac Courte Oreilles,29,33023429,20,51,14,20,6,19,72,25,20,45,11,0,22,5,0,0
South Shore,72,33023429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lac Courte Oreilles,64,33023430,7,35,5,10,1,5,20,16,23,39,2,47,13,0,0,0
Washburn,20,33023430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laconia,72,33023432,9,37,11,21,4,16,33,4,22,26,8,22,5,0,0,0
Campbellsport,33,33023432,28,71,9,15,7,28,72,15,24,39,21,8,13,0,0,0
Laconia,43,33023433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edgewood,50,33023433,14,53,12,22,3,23,43,11,24,35,8,16,7,3,0,0
Laconia,87,33023434,16,41,7,14,2,7,41,10,17,26,7,30,4,0,0,0
Lomira,41,33023434,33,59,9,15,12,24,87,6,14,20,18,9,21,0,0,0
