Team_Name,Points_Scored,Game_ID,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls
Shell Lake,38,36751450,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0
Chetek-Weyerhaeuser,69,36751450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cornell,36,36748221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilman,63,36748221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilmanton,26,36748928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boyceville,72,36748928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elcho,21,36748660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wabeno/Laona,58,36748660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oneida Nation,73,37421606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Allis Central,25,37421606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elk Mound,44,36748673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baldwin-Woodville,26,36748673,0,0,5,12,0,0,44,0,0,0,0,0,0,0,13,0
Milton,64,36750103,28,0,17,28,5,0,78,0,0,0,0,0,0,0,0,0
Waterford,78,36750103,19,0,19,21,7,0,64,0,0,0,0,0,0,0,0,0
New Lisbon,39,36750375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauston,70,36750375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheboygan South,78,36751439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Green Bay East,12,36751439,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0
Black Hawk,45,36788076,14,43,8,24,3,17,38,5,19,24,13,19,5,2,18,0
Shullsburg,39,36788076,17,33,5,12,2,13,45,6,30,36,15,17,5,0,18,0
Adams-Friendship,72,36747215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Portage,16,36747215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auburndale,66,36747440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosholt,45,36747440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barneveld,43,36747502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lancaster,32,36747502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colfax,38,36748184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clear Lake,25,36748184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Columbus,48,36748201,26,48,4,7,4,16,60,13,21,34,20,10,2,1,10,0
Randolph,60,36748201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Mary Catholic,55,36751684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pacelli,35,36751684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Three Lakes,47,36751845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillips,80,36751845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Dickinson (MI),30,36832634,18,60,21,28,8,33,65,15,21,36,14,14,24,0,6,0
Florence,65,36832634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fennimore,55,36748768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highland,41,36748768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Farge/Youth Initiative,49,36749529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riverdale,40,36749529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Southwestern,37,36751589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Potosi/Cassville,47,36751589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
