Team,First_Half_Score,Second_Half_Score,Assists,Turnovers,Steals,Blocks,Fouls,Rebounds,Game_Id,FGM,FGA,FTM,FTA,3FGM,3FGA
Lac Courte Oreilles,0,57,3,24,4,2,0,36,0,8,32,4,20,1,3
Lac Courte Oreilles,14,19,20,10,16,1,0,37,1,26,67,8,10,6,25
Lac Courte Oreilles,6,14,0,0,0,0,0,0,2,0,0,0,0,0,0
Lac Courte Oreilles,16,24,14,0,18,5,0,33,3,15,44,9,12,8,22
Lac Courte Oreilles,16,13,11,0,22,5,0,45,4,20,51,14,20,6,19
Lac Courte Oreilles,23,41,2,47,13,0,0,39,5,7,35,5,10,1,5
Laconia,43,29,21,8,13,0,0,39,7,28,71,9,15,7,28
Laconia,18,25,8,16,7,3,0,35,8,14,53,12,22,3,23
Laconia,54,33,18,9,21,0,0,20,9,33,59,9,15,12,24
Laconia,36,22,12,7,26,2,0,33,10,23,69,5,7,7,25
Laconia,49,27,23,14,32,0,0,34,11,31,74,6,13,8,22
Laconia,50,37,29,12,18,2,0,32,12,33,65,12,20,9,24
Laconia,34,25,8,15,8,0,0,29,13,25,53,1,3,8,23
Laconia,16,32,13,14,11,0,0,20,14,20,49,6,10,2,18
Laconia,34,21,16,15,8,0,0,27,15,22,47,2,6,7,14
Laconia,26,16,8,13,5,0,0,29,16,15,57,9,20,3,25
Laconia,27,40,9,22,21,1,0,30,17,21,55,21,34,4,16
Ladysmith,0,56,8,11,16,1,17,29,18,21,61,6,11,7,32
Ladysmith,0,53,4,7,9,0,10,27,19,22,51,7,13,1,16
Ladysmith,27,29,10,5,12,0,9,19,20,21,44,13,15,1,11
Ladysmith,42,21,17,14,14,2,11,24,21,25,51,4,4,11,23
Ladysmith,37,19,8,8,10,2,12,24,22,19,40,12,13,6,18
Ladysmith,29,34,12,8,7,0,9,27,23,25,40,6,11,7,13
Ladysmith,13,23,4,11,7,4,13,16,24,12,47,6,8,5,18
Ladysmith,0,52,11,12,10,4,13,31,25,17,55,10,16,10,33
Ladysmith,36,16,15,11,8,0,12,18,26,20,40,5,9,7,17
Ladysmith,0,63,12,7,20,2,13,34,27,26,70,6,10,5,25
Ladysmith,21,30,4,6,3,3,19,21,28,21,46,7,8,2,17
Lake Country Lutheran,0,58,15,16,10,1,17,48,29,24,71,4,11,6,29
Lake Country Lutheran,28,27,11,14,12,4,10,31,30,19,57,10,14,7,30
Lake Country Lutheran,36,20,15,12,13,3,13,37,31,23,62,1,2,9,34
Lake Country Lutheran,0,63,16,18,13,3,9,44,32,24,54,6,12,8,28
Lake Country Lutheran,28,12,5,16,6,2,19,27,33,14,44,7,12,5,14
Lake Country Lutheran,19,26,2,14,8,0,17,30,34,17,48,7,18,2,12
Lake Country Lutheran,33,39,13,4,22,0,15,34,35,27,68,11,14,7,20
Lake Country Lutheran,37,27,14,23,19,1,14,53,36,24,78,7,11,9,40
Lake Country Lutheran,33,20,11,13,20,0,11,36,37,22,59,3,8,6,25
Lake Country Lutheran,32,26,7,19,13,2,9,47,38,22,53,11,19,3,19
Lake Country Lutheran,27,25,13,19,11,2,16,44,39,20,52,7,12,5,21
Lake Country Lutheran,0,41,9,13,19,1,25,20,40,15,62,5,11,6,33
Lake Holcombe,32,29,12,24,25,5,17,38,42,25,67,7,17,2,13
Lake Holcombe,25,34,9,26,19,5,0,32,43,25,69,7,8,2,12
Lake Holcombe,28,29,9,26,19,6,13,42,45,21,62,12,28,2,12
Lake Holcombe,37,35,17,38,16,1,22,42,46,25,59,14,22,8,18
Lake Holcombe,34,37,16,21,17,3,12,37,47,28,61,9,14,6,19
Lake Holcombe,17,26,4,19,16,2,22,34,48,12,46,17,26,2,16
Lake Holcombe,27,27,8,30,21,8,19,40,49,20,49,18,29,2,14
Lake Holcombe,25,37,9,33,21,7,31,42,50,24,60,14,26,1,15
Lake Holcombe,24,28,7,36,12,1,27,50,51,18,60,17,33,3,12
Lake Holcombe,29,32,12,28,19,6,16,49,52,22,70,14,23,3,19
Lake Mills,14,34,11,13,7,0,15,31,53,16,46,13,23,3,18
Lake Mills,19,43,9,20,4,1,21,39,54,24,59,13,25,1,18
Lake Mills,28,26,10,16,2,2,13,29,55,19,35,8,15,8,18
Lake Mills,17,32,6,11,5,2,12,26,57,17,46,11,18,4,20
Lake Mills,39,19,13,23,9,2,13,39,58,20,48,11,19,7,26
Lake Mills,31,22,10,19,13,3,15,40,59,22,57,7,10,2,22
Lake Mills,30,39,16,13,9,8,18,46,60,21,63,15,20,12,39
Lake Mills,27,31,11,19,17,3,13,35,61,23,60,8,15,4,28
Lake Mills,37,23,13,16,13,0,20,34,62,25,55,20,35,5,23
Lake Mills,33,28,0,17,0,2,24,24,63,20,37,14,30,7,20
Lake Mills,0,53,16,18,8,6,17,31,64,20,43,3,5,10,25
Lakeland,0,79,20,0,34,6,0,32,65,30,70,12,19,7,26
Lakeland,18,19,12,0,8,0,0,20,66,17,45,2,6,1,14
Lakeland,21,26,14,0,6,3,0,28,67,17,43,9,19,4,10
Lakeland,32,31,18,19,17,7,0,35,68,23,54,8,10,9,22
Lakeland,24,22,13,0,11,2,0,39,69,18,53,6,11,4,21
Lakeland,29,21,13,0,12,2,0,30,70,18,42,13,16,1,12
Lakeland,24,42,23,0,13,7,0,47,71,30,64,5,13,1,16
Lakeland,0,62,24,0,25,4,0,34,73,28,64,8,13,3,21
Lakeland,32,30,18,0,13,14,0,30,74,23,56,7,9,9,25
Lakeside Lutheran,27,18,10,0,9,5,0,38,75,16,48,19,34,3,18
Lakeside Lutheran,31,23,14,0,9,4,0,36,76,17,39,16,27,2,8
Lakeside Lutheran,16,25,1,0,8,6,0,35,77,13,39,15,24,0,8
Lakeside Lutheran,21,24,0,6,3,4,15,29,78,9,35,8,11,7,30
Lakeside Lutheran,21,10,4,0,14,4,0,33,79,8,35,6,11,3,18
Lakeside Lutheran,24,21,7,0,5,2,13,32,80,12,37,12,18,3,13
Lakeside Lutheran,19,24,6,0,17,1,0,38,81,9,37,13,28,4,23
Lakeside Lutheran,25,17,7,0,14,4,9,38,82,13,39,10,17,2,12
Lakeside Lutheran,19,32,9,5,11,9,0,31,83,15,45,9,20,4,9
Lakeside Lutheran,28,28,1,0,15,2,0,37,84,18,53,14,32,2,12
Lakeside Lutheran,22,24,7,9,8,3,0,58,85,19,53,8,12,0,13
Lakeside Lutheran,18,29,6,0,5,4,0,27,86,19,44,6,12,1,13
Argyle,18,14,2,12,2,1,0,23,87,11,49,9,16,1,12
Lancaster,36,31,13,17,14,0,16,23,88,26,57,9,14,6,16
Lancaster,31,28,8,25,20,1,16,35,89,21,55,12,22,6,22
Lancaster,24,30,6,9,6,0,20,33,90,22,61,5,7,5,20
Lancaster,39,27,15,12,15,2,19,27,91,23,48,8,15,9,22
Lancaster,26,27,9,17,11,1,14,22,92,19,41,13,27,2,12
Lancaster,22,26,9,24,13,4,17,29,93,16,46,12,20,4,20
Lancaster,10,19,7,18,8,3,13,20,94,10,43,6,10,3,21
Lancaster,10,11,5,25,9,3,13,21,95,8,32,2,7,3,14
Lancaster,35,25,13,24,11,1,18,31,96,24,43,7,15,1,3
Lancaster,30,27,8,13,26,2,17,37,97,21,72,13,32,2,29
Lancaster,32,33,13,17,16,2,19,36,98,25,65,10,12,5,29
Lancaster,24,23,8,14,14,0,24,32,99,18,68,10,18,1,18
Wabeno/Laona,23,30,7,0,18,0,0,34,100,14,62,21,28,4,28
Wabeno/Laona,11,10,3,0,4,1,0,27,101,5,32,9,14,2,13
Wabeno/Laona,31,16,9,0,10,4,0,41,102,16,56,11,15,4,17
Wabeno/Laona,35,32,14,0,3,6,0,51,103,26,66,9,12,6,22
Wabeno/Laona,36,26,17,0,22,4,0,39,104,27,70,4,9,4,15
Wabeno/Laona,22,33,10,0,16,0,0,41,105,21,62,11,16,2,20
Wabeno/Laona,26,28,8,0,10,2,0,35,106,14,45,22,26,4,14
Wabeno/Laona,44,22,19,0,20,3,0,27,107,28,52,3,7,7,20
Wabeno/Laona,0,45,23,27,16,10,0,38,108,26,50,7,7,4,7
Wabeno/Laona,24,25,13,0,19,3,0,33,109,16,47,12,15,5,20
Lena,12,19,6,30,8,8,12,33,110,11,35,7,12,2,14
Lena,16,16,3,22,10,1,18,33,111,10,60,8,20,4,24
Lena,11,32,12,13,10,4,16,35,113,17,60,3,7,6,22
Lena,12,20,9,18,7,5,13,37,114,13,48,4,13,2,13
Lena,13,22,7,32,9,15,14,35,115,11,37,8,12,5,18
Lena,22,43,13,31,14,7,12,43,116,21,54,19,29,4,14
Lena,37,12,10,17,18,3,10,28,117,23,52,2,9,1,13
Lena,26,22,6,23,11,3,18,26,119,14,43,15,30,5,15
Lena,28,19,10,17,26,8,13,36,120,17,55,9,28,4,12
Lena,21,16,7,23,9,14,10,36,121,13,40,9,16,2,8
Little Chute,6,17,2,20,6,0,13,26,122,6,33,10,16,1,10
Little Chute,10,5,0,28,3,1,13,30,123,2,29,11,22,0,11
Little Chute,13,17,11,23,1,2,12,18,124,12,28,3,7,3,7
Little Chute,7,4,4,32,1,0,11,21,125,5,18,0,1,1,4
Little Chute,17,14,4,28,3,0,14,26,126,14,33,0,5,3,7
Little Chute,12,13,5,32,5,2,12,22,127,8,24,7,11,2,10
Little Chute,4,5,2,25,3,0,17,13,128,2,23,4,13,1,8
Little Chute,4,13,2,24,5,2,16,21,129,5,29,6,17,1,16
Little Chute,13,5,3,29,5,0,13,17,130,7,25,4,7,0,5
Little Chute,13,13,7,24,10,1,23,35,131,8,41,9,18,1,17
Living Word Lutheran,0,45,0,0,0,0,11,0,132,21,0,5,8,7,0
Living Word Lutheran,23,14,0,0,0,0,0,0,133,0,0,0,0,0,0
Living Word Lutheran,29,22,0,0,0,0,0,2,134,19,0,9,16,3,0
Living Word Lutheran,50,0,0,0,0,0,0,0,135,0,0,0,0,0,0
Living Word Lutheran,12,7,0,0,0,0,0,0,136,8,0,3,8,0,0
Living Word Lutheran,12,23,0,0,0,0,0,0,137,14,0,5,5,2,0
Living Word Lutheran,9,15,0,0,0,0,0,0,138,0,0,0,0,0,0
Living Word Lutheran,20,20,7,0,11,0,0,16,139,17,41,13,19,2,10
Living Word Lutheran,26,26,0,0,0,0,0,0,140,21,0,9,19,1,0
Lodi,26,31,19,16,4,3,24,23,141,21,45,8,12,7,16
Lodi,26,16,14,22,2,12,22,30,142,17,50,5,11,3,18
Lodi,23,18,15,17,6,4,16,27,143,18,51,1,2,4,11
Lodi,19,29,16,14,9,4,25,27,144,19,57,4,12,6,19
Lodi,27,30,20,20,5,1,17,33,145,23,50,5,9,6,23
