Team_x,First_Half_Score_x,Second_Half_Score_x,Field_Goals_x,Free_Throws_x,Threes_x,Assists_x,Turnovers_x,Steals_x,Blocks_x,Fouls_x,Rebounds_x,Game_Id,Team_y,First_Half_Score_y,Second_Half_Score_y,Field_Goals_y,Free_Throws_y,Threes_y,Assists_y,Turnovers_y,Steals_y,Blocks_y,Fouls_y,Rebounds_y
Lac Courte Oreilles,0,57,8-32,4-20,1-3,3,24,4,2,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0
Lac Courte Oreilles,14,19,26-67,8-10,6-25,20,10,16,1,0,37,1,0,0,0,0,0,0,0,0,0,0,0,0
Lac Courte Oreilles,6,14,0-0,0-0,0-0,0,0,0,0,0,0,2,New Auburn,12,18,0-0,0-0,0-0,0,0,0,0,0,0
Lac Courte Oreilles,16,24,15-44,9-12,8-22,14,0,18,5,0,33,3,0,0,0,0,0,0,0,0,0,0,0,0
Lac Courte Oreilles,16,13,20-51,14-20,6-19,11,0,22,5,0,45,4,0,0,0,0,0,0,0,0,0,0,0,0
Lac Courte Oreilles,23,41,7-35,5-10,1-5,2,47,13,0,0,39,5,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0
Laconia,43,29,28-71,9-15,7-28,21,8,13,0,0,39,7,Campbellsport,22,11,9-37,11-21,4-16,8,22,5,0,0,26
Laconia,18,25,14-53,12-22,3-23,8,16,7,3,0,35,8,0,0,0,0,0,0,0,0,0,0,0,0
Laconia,54,33,33-59,9-15,12-24,18,9,21,0,0,20,9,Lomira,23,18,16-41,7-14,2-7,7,30,4,0,0,26
Laconia,36,22,23-69,5-7,7-25,12,7,26,2,0,33,10,Markesan,10,6,6-33,2-5,2-7,4,35,3,0,0,32
Laconia,49,27,31-74,6-13,8-22,23,14,32,0,0,34,11,Mayville,21,11,14-40,2-4,2-6,11,43,4,0,11,33
Laconia,50,37,33-65,12-20,9-24,29,12,18,2,0,32,12,North Fond du Lac,13,19,6-26,8-12,4-11,2,29,6,4,0,21
Laconia,34,25,25-53,1-3,8-23,8,15,8,0,0,29,13,Omro,12,30,15-51,7-10,5-16,7,19,7,0,0,33
Laconia,16,32,20-49,6-10,2-18,13,14,11,0,0,20,14,Randolph,36,27,23-60,13-19,4-17,14,17,8,2,11,32
Laconia,34,21,22-47,2-6,7-14,16,15,8,0,0,27,15,St. Mary's Springs,17,22,15-40,5-12,4-16,9,12,9,0,0,16
Laconia,26,16,15-57,9-20,3-25,8,13,5,0,0,29,16,Waupun,27,42,24-59,12-15,3-17,12,8,9,4,16,45
Laconia,27,40,21-55,21-34,4-16,9,22,21,1,0,30,17,Winnebago Lutheran,27,28,21-55,9-18,4-15,9,40,9,0,26,47
Ladysmith,0,56,21-61,6-11,7-32,8,11,16,1,17,29,18,Ashland,0,46,15-45,12-27,4-5,9,23,6,0,10,43
Ladysmith,0,53,22-51,7-13,1-16,4,7,9,0,10,27,19,0,0,0,0,0,0,0,0,0,0,0,0
Ladysmith,27,29,21-44,13-15,1-11,10,5,12,0,9,19,20,Cameron,20,32,21-43,6-7,4-15,16,18,4,2,11,25
