Team,Game_ID,Points_Scored,Points_Allowed,Win,Field Goals Made,Field Goals Attempted,Free Throws Made,Free Throws Attempted,Three Point Made,Three Point Attempted,Total Points,Offensive Rebounds,Defensive Rebounds,Total Rebounds,Assists,Turnovers,Steals,Blocks,Fouls,Technical Fouls,Offensive_Efficiency,Efficient Points Score,Raw EOP,Two Points Per Attempt,Three Points Per Attempt,Total Points Per Attempt,Scoring_Possesions,Team Play Percent,Possesions,Field Goals Made_Allowed,Field Goals Attempted_Allowed,Free Throws Made_Allowed,Free Throws Attempted_Allowed,Three Point Made_Allowed,Three Point Attempted_Allowed,Total Points_Allowed,Offensive Rebounds_Allowed,Defensive Rebounds_Allowed,Total Rebounds_Allowed,Assists_Allowed,Turnovers_Allowed,Steals_Allowed,Blocks_Allowed,Fouls_Allowed,Technical Fouls_Allowed,Offensive_Efficiency_Allowed,Efficient Points Score_Allowed,Raw EOP_Allowed,Two Points Per Attempt_Allowed,Three Points Per Attempt_Allowed,Total Points Per Attempt_Allowed,Scoring_Possesions_Allowed,Team Play Percent_Allowed,Possesions_Allowed,Offensive_Efficieny_Difference
Laconia,33023432,72,33,1,28,71,9,15,7,28,72,15,24,39,21,8,13,0,0,0.0,0.352941176,11.64705882,14.48470588,0.976744186,0.75,0.887323944,30.16,0.354823529,91.35,9,37,11,21,4,16,33,4,22,26,8,22,5,0,0,0.0,0.301587302,21.71428571,18.33650794,0.476190476,0.75,0.594594595,11.3047619,0.167726438,69.52,0.05135387400000002
Campbellsport,33023432,33,72,0,9,37,11,21,4,16,33,4,22,26,8,22,5,0,0,0.0,0.301587302,21.71428571,18.33650794,0.476190476,0.75,0.594594595,11.3047619,0.167726438,69.52,28,71,9,15,7,28,72,15,24,39,21,8,13,0,0,0.0,0.352941176,11.64705882,14.48470588,0.976744186,0.75,0.887323944,30.16,0.354823529,91.35,-0.05135387400000002
Laconia,33023434,87,41,1,33,59,9,15,12,24,87,6,14,20,18,9,21,0,0,0.0,0.3375,13.8375,15.1335,1.2,1.5,1.322033898,35.16,0.475135135,85.18,16,41,7,14,2,7,41,10,17,26,7,30,4,0,0,0.0,0.205882353,17.91176471,14.70823529,0.823529412,0.857142857,0.829268293,17.4,0.227154047,76.7,0.13161764700000003
Lomira,33023434,41,87,0,16,41,7,14,2,7,41,10,17,26,7,30,4,0,0,0.0,0.205882353,17.91176471,14.70823529,0.823529412,0.857142857,0.829268293,17.4,0.227154047,76.7,33,59,9,15,12,24,87,6,14,20,18,9,21,0,0,0.0,0.3375,13.8375,15.1335,1.2,1.5,1.322033898,35.16,0.475135135,85.18,-0.13161764700000003
Laconia,33023435,58,16,1,23,69,5,7,7,25,58,12,21,33,12,7,26,2,0,0.0,0.223684211,3.578947368,4.76,0.727272727,0.84,0.768115942,24.42857143,0.310007252,90.76,6,33,2,5,2,7,16,5,27,32,4,35,3,0,0,0.0,0.089552239,5.194029851,4.219701493,0.307692308,0.857142857,0.424242424,6.32,0.090285714,75.85,0.134131972
Markesan,33023435,16,58,0,6,33,2,5,2,7,16,5,27,32,4,35,3,0,0,0.0,0.089552239,5.194029851,4.219701493,0.307692308,0.857142857,0.424242424,6.32,0.090285714,75.85,23,69,5,7,7,25,58,12,21,33,12,7,26,2,0,0.0,0.223684211,3.578947368,4.76,0.727272727,0.84,0.768115942,24.42857143,0.310007252,90.76,-0.134131972
Laconia,33023436,76,32,1,31,74,6,13,8,22,76,19,15,34,23,14,32,0,0,0.0,0.315217391,10.08695652,13.17608696,0.884615385,1.090909091,0.945945946,32.10769231,0.344503136,97.27,14,40,2,4,2,6,32,10,23,33,11,43,4,0,11,0.0,0.154761905,11.76190476,10.23285714,0.705882353,1.0,0.75,14.4,0.170212766,88.3,0.160455486
Mayville,33023436,32,76,0,14,40,2,4,2,6,32,10,23,33,11,43,4,0,11,0.0,0.154761905,11.76190476,10.23285714,0.705882353,1.0,0.75,14.4,0.170212766,88.3,31,74,6,13,8,22,76,19,15,34,23,14,32,0,0,0.0,0.315217391,10.08695652,13.17608696,0.884615385,1.090909091,0.945945946,32.10769231,0.344503136,97.27,-0.160455486
Laconia,33023437,87,32,1,33,65,12,20,9,24,87,15,17,32,29,12,18,2,0,0.0,0.450549451,14.41758242,20.88747253,1.170731707,1.125,1.153846154,35.88,0.422117647,86.95,6,26,8,12,4,11,32,7,14,21,2,29,6,4,0,0.0,0.2,17.4,13.528,0.266666667,1.090909091,0.615384615,8.133333333,0.136008919,57.91,0.250549451
North Fond du Lac,33023437,32,87,0,6,26,8,12,4,11,32,7,14,21,2,29,6,4,0,0.0,0.2,17.4,13.528,0.266666667,1.090909091,0.615384615,8.133333333,0.136008919,57.91,33,65,12,20,9,24,87,15,17,32,29,12,18,2,0,0.0,0.450549451,14.41758242,20.88747253,1.170731707,1.125,1.153846154,35.88,0.422117647,86.95,-0.250549451
